,MEGA_NM,MEGA_CD,CTY_CD,CTY_NM,X_AXIS,Y_AXIS,TOTAL,종합전문병,한방병원,치과병원,한의원,조산원,일반병원,요양병원,의원,치과의원,종합병원,소유권
4660,서울특별시,11,1111,종로구,309750,556950,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4661,서울특별시,11,1111,종로구,309550,552650,100,0,0,0,0,0,0,0,25,75,0,GIS United INC.
4662,서울특별시,11,1165,서초구,312450,543550,50,0,0,0,0,0,0,0,25,25,0,GIS United INC.
4663,서울특별시,11,1147,양천구,300050,547150,50,0,0,0,0,0,0,0,25,25,0,GIS United INC.
4664,서울특별시,11,1121,광진구,318050,550250,50,0,0,0,25,0,0,0,25,0,0,GIS United INC.
4665,서울특별시,11,1156,영등포구,302850,547450,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4666,서울특별시,11,1147,양천구,297550,546750,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4667,서울특별시,11,1162,관악구,310050,542050,50,0,0,0,0,0,0,0,25,25,0,GIS United INC.
4668,서울특별시,11,1129,성북구,314850,555750,125,0,0,0,25,0,0,0,50,50,0,GIS United INC.
4669,서울특별시,11,1130,강북구,315750,558850,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4670,서울특별시,11,1168,강남구,314750,543150,50,0,0,0,0,0,0,0,25,25,0,GIS United INC.
4671,서울특별시,11,1150,강서구,299450,551850,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4672,서울특별시,11,1132,도봉구,313350,561950,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4673,서울특별시,11,1121,광진구,319550,551250,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4674,서울특별시,11,1111,종로구,312050,554350,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4675,서울특별시,11,1120,성동구,315150,552250,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4676,서울특별시,11,1138,은평구,304550,558150,50,0,0,0,25,0,0,0,25,0,0,GIS United INC.
4677,서울특별시,11,1153,구로구,300550,544550,50,0,0,0,0,0,0,0,25,25,0,GIS United INC.
4678,서울특별시,11,1162,관악구,305550,543350,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4679,서울특별시,11,1159,동작구,310150,542750,25,0,0,0,0,0,25,0,0,0,0,GIS United INC.
4680,서울특별시,11,1123,동대문구,316050,553150,25,0,0,0,0,0,25,0,0,0,0,GIS United INC.
4681,서울특별시,11,1123,동대문구,314150,552850,25,0,0,0,0,0,25,0,0,0,0,GIS United INC.
