,구분,대여소번호,대여소명,대여소 주소,거치대수,lat,lon
834,송파구,1259, 방이역 1번출구,서울특별시 송파구 오금동 17-20,15,334421.73262665444,4152986.617393086
835,송파구,1260, 방이동 한양3차아파트 옆,서울특별시 송파구 방이동 225-1,8,333956.50552573055,4152698.186861638
836,송파구,1262, 송파여성문화회관 앞,서울특별시 송파구 송파동 2-3 ,10,332922.84725406196,4152663.3916544635
837,송파구,1263, 장지공영차고지,서울특별시 송파구 장지동 861-6,10,335280.3788682858,4149812.3483402682
838,송파구,1264, 천호역 10번 출구 앞,서울특별시 송파구 풍납동 490-16,8,334152.1123235056,4156277.4522864525
839,송파구,1265, 문정동 근린공원,서울특별시 송파구 문정동 38-3,10,334212.74926011096,4150456.046485594
840,송파구,1267, 올림픽공원 남2문 앞,서울특별시 송파구 올림픽로 424,15,334121.7888952949,4153576.025977572
841,송파구,1269, 리센츠아파트 ,서울특별시 송파구 올림픽로 135,10,331301.26377551386,4153377.9240666647
842,송파구,1271, 송파도서관,서울특별시 송파구 동남로 263,15,335179.43566495384,4151972.6575841196
843,송파구,1274, 영파여고 앞,서울특별시 송파구 올림픽로 565,20,333984.3293889664,4155644.3124326193
