,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,TOTAL,X_AXIS,Y_AXIS
330,서울특별시,11,동대문구,11230,1,318250,552550
331,서울특별시,11,강남구,11680,1,316950,545750
332,서울특별시,11,영등포구,11560,1,302950,548750
333,서울특별시,11,금천구,11545,1,300850,542950
334,서울특별시,11,강남구,11680,1,317650,546350
335,서울특별시,11,강남구,11680,1,317050,545350
336,서울특별시,11,강남구,11680,1,317350,546250
337,서울특별시,11,강남구,11680,1,315450,543050
338,서울특별시,11,강남구,11680,1,314750,543950
339,서울특별시,11,영등포구,11560,1,303750,547650
340,서울특별시,11,용산구,11170,1,308750,547050
341,서울특별시,11,마포구,11440,2,306950,549750
342,서울특별시,11,중구,11140,1,309550,551750
343,서울특별시,11,영등포구,11560,1,304950,547450
344,서울특별시,11,종로구,11110,1,311950,552950
345,서울특별시,11,종로구,11110,1,309750,552550
346,서울특별시,11,영등포구,11560,1,303250,546650
347,서울특별시,11,서대문구,11410,1,308750,551650
348,서울특별시,11,종로구,11110,2,309450,552450
349,서울특별시,11,서초구,11650,2,315550,540650
350,서울특별시,11,구로구,11530,2,302350,542750
351,서울특별시,11,마포구,11440,2,307950,550650
352,서울특별시,11,강남구,11680,2,314650,544450
353,서울특별시,11,강남구,11680,1,313650,546250
354,서울특별시,11,강남구,11680,1,314750,543250
355,서울특별시,11,동작구,11590,3,304650,544350
356,서울특별시,11,구로구,11530,1,301950,545750
357,서울특별시,11,용산구,11170,1,308550,547550
358,서울특별시,11,영등포구,11560,1,302550,548550
359,서울특별시,11,강서구,11500,1,295250,550150
360,서울특별시,11,서초구,11650,2,314450,543650
361,서울특별시,11,종로구,11110,5,310150,552450
362,서울특별시,11,서초구,11650,1,314350,543750
363,서울특별시,11,영등포구,11560,3,304650,547150
364,서울특별시,11,서초구,11650,1,311450,544550
365,서울특별시,11,강남구,11680,1,314450,547250
366,서울특별시,11,영등포구,11560,4,305050,547450
367,서울특별시,11,송파구,11710,1,322450,544050
368,서울특별시,11,서초구,11650,2,313450,543150
369,서울특별시,11,금천구,11545,1,301650,542350
370,서울특별시,11,중구,11140,1,309950,551350
371,서울특별시,11,중구,11140,2,309650,551650
372,서울특별시,11,강서구,11500,1,300550,550050
373,서울특별시,11,강남구,11680,1,317550,546150
374,서울특별시,11,종로구,11110,1,310550,552650
375,서울특별시,11,강남구,11680,1,315650,544950
376,서울특별시,11,강남구,11680,1,314350,546250
377,서울특별시,11,송파구,11710,1,324750,544550
378,서울특별시,11,중구,11140,1,310950,551450
379,서울특별시,11,강동구,11740,1,324250,548050
