,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,HOUS,POP,CLSS
23109,서울특별시,11,강남구,11680,317350,541950,20.9,53.6,6
23110,서울특별시,11,종로구,11110,310450,553050,19.18,43.78,5
23111,서울특별시,11,중구,11140,313950,551750,10.12,21.2,2
23112,서울특별시,11,양천구,11470,301050,548450,210.0,718.44,8
23113,서울특별시,11,동작구,11590,309550,543150,101.28,96.51,2
23114,서울특별시,11,금천구,11545,302150,542350,123.32,93.74,4
23115,서울특별시,11,광진구,11215,319550,549550,100.76,174.66,4
23116,서울특별시,11,은평구,11380,302250,554050,2.56,5.33,2
23117,서울특별시,11,도봉구,11320,314750,561950,232.13,747.82,5
23118,서울특별시,11,동작구,11590,307650,543950,215.65,885.49,5
23119,서울특별시,11,강북구,11305,313350,561150,151.03,300.1,3
23120,서울특별시,11,마포구,11440,307450,551050,57.2,79.81,2
23121,서울특별시,11,성북구,11290,314950,556050,18.76,21.32,2
23122,서울특별시,11,구로구,11530,297350,544150,95.27,194.71,3
23123,서울특별시,11,송파구,11710,323050,545850,38.0,134.42,7
23124,서울특별시,11,동작구,11590,307750,544750,170.0,718.4,5
23125,서울특별시,11,동대문구,11230,316950,554550,44.0,84.55,2
23126,서울특별시,11,광진구,11215,319650,551650,91.42,113.07,5
23127,서울특별시,11,송파구,11710,325250,543850,233.69,470.6,4
23128,서울특별시,11,관악구,11620,307450,542650,28.31,97.41,4
23129,서울특별시,11,영등포구,11560,302750,545750,219.86,576.97,4
23130,서울특별시,11,종로구,11110,312250,552750,43.84,64.62,2
23131,서울특별시,11,강남구,11680,313950,546950,132.44,201.22,6
23132,서울특별시,11,동작구,11590,306450,546350,2.33,5.34,4
23133,서울특별시,11,양천구,11470,300450,548550,60.0,211.89,8
23134,서울특별시,11,강서구,11500,297450,549150,257.15,472.44,3
23135,서울특별시,11,구로구,11530,301950,543450,76.69,239.53,3
23136,서울특별시,11,광진구,11215,318850,552250,63.64,276.26,4
23137,서울특별시,11,구로구,11530,296650,544650,118.83,363.53,4
23138,서울특별시,11,관악구,11620,304250,541950,157.38,398.94,3
23139,서울특별시,11,송파구,11710,322250,545650,79.87,197.6,5
23140,서울특별시,11,송파구,11710,320750,544950,30.0,105.4,6
23141,서울특별시,11,노원구,11350,318650,560150,52.0,165.56,5
23142,서울특별시,11,동작구,11590,305250,545750,96.0,424.04,6
23143,서울특별시,11,마포구,11440,307550,550150,281.44,762.76,4
23144,서울특별시,11,강남구,11680,319450,542950,1403.0,3832.98,4
23145,서울특별시,11,노원구,11350,318450,558150,27.45,48.06,2
23146,서울특별시,11,성동구,11200,315650,551950,6.57,16.09,8
23147,서울특별시,11,중랑구,11260,320850,556250,445.0,1982.06,4
23148,서울특별시,11,성북구,11290,314450,556450,203.4,400.07,4
23149,서울특별시,11,은평구,11380,306450,556450,12.8,26.7,3
23150,서울특별시,11,서대문구,11410,303950,553950,133.66,303.54,4
23151,서울특별시,11,강서구,11500,294950,551350,132.06,236.29,3
23152,서울특별시,11,서대문구,11410,306150,552550,29.92,49.92,6
23153,서울특별시,11,은평구,11380,304150,554650,121.44,183.29,3
23154,서울특별시,11,성동구,11200,315750,551950,46.96,153.53,4
23155,서울특별시,11,강서구,11500,298250,548750,200.91,440.96,4
23156,서울특별시,11,은평구,11380,305850,558050,230.2,743.7,3
23157,서울특별시,11,송파구,11710,322250,543950,18.0,64.31,5
23158,서울특별시,11,송파구,11710,322050,543150,120.0,430.98,7
23159,서울특별시,11,용산구,11170,311850,548750,32.06,37.48,6
